Airy 1830,7001,6377563.396,299.3249646
Modified Airy,7002,6377340.189,299.3249646
Australian National,7003,6378160.0,298.25
Bessel 1841,7004,6377397.155,299.1528128
Bessel 1841 (Norway),7005,6377492.0176,299.1528
Clarke 1858,7007,6378293.645,294.26
Clarke 1866,7008,6378206.4,294.9786982
Clarke 1880 (Palestine),7010,6378300.789,293.466
Clarke 1880 (IGN),7011,6378249.2,293.466021
Clarke 1880,7012,6378249.145,293.465
Everest 1830 (1937 Adjustment),7015,6377276.345,300.8017
Everest 1830 Modified,7018,6377304.063,300.8017
GRS 80,7019,6378137.0,298.257222101
Helmert 1906,7020,6378200.0,298.3
Indonesian National Spheroid,7021,6378160.0,298.247
International 1924,7022,6378388.0,297.0
Krassovsky 1940,7024,6378245.0,298.3
War Office,7029,6378300.0,296.0
South American 1969,7036,6378160.0,298.25
WGS 72,7043,6378135.0,298.26
Everest 1830 (1962 Definition),7044,6377301.243,300.8017255
Everest 1830 (1975 Definition),7045,6377299.151,300.8017255
Bessel 1841 (Namibia),7046,6377483.865,299.1528128
GRS 1967 Modified,7050,6378160.0,298.25
Danish 1876,7051,6377019.27,300.0
Hough 1960,7053,6378270.0,297.0
Clarke 1880 (international foot),7055,6378306.370,293.4663077
PZ-90,7054,6378136.0,298.257839303
